N,insert_ms,quick_ms
1,0.581962,0.48999
2,0.428092,0.432778
3,0.548901,0.569122
4,0.594825,0.564273
5,0.752109,0.741809
6,0.798224,0.779282
7,0.796423,0.862119
8,0.852432,0.945767
9,0.919954,1.03792
10,1.02311,1.14648
11,1.08049,1.21863
12,1.36399,2.43273
13,1.61105,1.42842
14,1.32306,1.51616
15,1.39403,1.57576
16,1.4798,1.68605
17,1.56813,1.74266
18,1.61823,1.86774
19,2.14002,1.93985
20,1.8103,2.01742
21,1.86177,2.06627
22,1.98278,2.18405
23,2.09232,2.26865
24,2.20561,2.39995
25,2.29228,2.46143
26,2.42195,2.58391
27,2.52719,2.67788
28,2.98433,3.22759
29,2.93773,3.05938
30,3.93358,3.36476
31,3.71877,3.26124
32,3.32173,3.28911
33,3.40417,3.42523
34,3.52051,3.57673
35,3.79986,3.60973
36,3.77357,3.7133
37,3.93822,3.82001
38,4.18025,3.94089
39,4.22897,4.04566
40,4.34887,4.27607
41,4.51051,4.42871
42,4.65898,4.40236
43,4.92532,4.47992
44,4.99745,4.60464
45,5.13403,4.76005
46,5.30726,4.80707
47,5.52818,4.9703
48,5.6131,5.02197
49,5.73517,5.16846
50,5.92325,5.20268
51,6.1085,5.42321
52,6.29052,5.46738
53,6.78175,5.84785
54,6.77932,5.738
55,6.98604,5.83354
56,7.39619,6.13026
57,7.3696,6.09585
58,7.50922,6.46693
59,7.79976,7.01292
60,8.09948,6.45875
61,9.81068,8.18824
62,9.95725,8.33742
63,10.1096,8.44992
64,10.253,8.47336
65,10.5587,8.58378
66,10.8216,8.71652
67,11.1098,8.84949
68,11.2461,8.95887
69,11.4371,9.12189
70,11.5851,8.70691
71,10.5591,8.28689
72,11.3671,8.23681
73,10.9812,8.22743
74,11.8369,8.32495
75,11.5756,9.75908
76,12.5842,8.55809
77,12.0018,8.72068
78,12.3035,8.95323
79,15.0583,10.309
80,13.889,9.16147
81,13.3486,9.38647
82,13.6043,9.39317
83,13.6432,9.55656
84,13.9081,9.68111
85,14.1559,9.79088
86,14.4073,10.139
87,14.6628,10.3821
88,15.1333,10.1718
89,15.2449,10.2212
90,15.5567,10.4861
91,15.9849,10.519
92,16.0612,10.6813
93,16.2704,10.6831
94,16.5953,10.8019
95,16.9248,10.9786
96,17.1686,11.0845
97,17.5548,11.238
98,17.8177,11.288
99,18.1104,11.5038
