k,N,hybrid_ms
5,1000,152.573
6,1000,211.121
7,1000,210.99
8,1000,175.035
9,1000,172.81
10,1000,159.115
11,1000,145.827
12,1000,144.898
13,1000,144.66
14,1000,146.326
15,1000,143.21
16,1000,145.639
17,1000,144.74
18,1000,150.079
19,1000,150.902
20,1000,144.925
21,1000,144.328
22,1000,146.149
23,1000,146.212
24,1000,151.565
25,1000,143.66
26,1000,144.868
27,1000,146.03
28,1000,145.517
29,1000,145.671
30,1000,147.757
31,1000,146.613
32,1000,147.749
33,1000,151.594
34,1000,149.269
35,1000,152.97
36,1000,148.883
37,1000,148.509
38,1000,150.495
39,1000,152.996
40,1000,152.499
41,1000,152.328
42,1000,151.693
43,1000,151.097
44,1000,153.744
45,1000,152.454
46,1000,152.578
47,1000,157.893
48,1000,159.472
49,1000,155.877
50,1000,153.999
51,1000,159.448
52,1000,157.033
53,1000,158.209
54,1000,158.528
55,1000,157.76
56,1000,191.446
57,1000,167.744
58,1000,163.526
59,1000,164.286
60,1000,162.325
61,1000,182.064
62,1000,163.708
63,1000,166.715
64,1000,174.913
65,1000,169.185
66,1000,169.011
67,1000,167.657
68,1000,177.516
69,1000,167.203
70,1000,167.134
71,1000,168.038
72,1000,167.874
73,1000,169.203
74,1000,175.294
75,1000,170.448
76,1000,171.072
77,1000,173.155
78,1000,172.547
79,1000,173.635
80,1000,172.167
81,1000,174.289
82,1000,176.704
83,1000,175.709
84,1000,174.84
85,1000,177.847
86,1000,176.916
87,1000,187.511
88,1000,180.718
89,1000,179.034
90,1000,180.147
91,1000,182.324
92,1000,181.193
93,1000,183.762
94,1000,182.575
95,1000,182.467
96,1000,184.923
97,1000,186.588
98,1000,191.955
99,1000,192.666
100,1000,196.307
