N, insert_ms, quick_ms
1,0.3599,0.3595
2,0.3923,0.4078
3,0.4434,0.4706
4,0.4905,0.5273
5,0.5557,0.5947
6,0.6234,0.6781
7,0.6891,0.7658
8,0.7398,0.918
9,0.853,1.128
10,1.1385,1.3942
11,1.0957,1.1601
12,1.0383,1.1976
13,1.2022,1.3774
14,1.2664,1.4698
15,1.4633,1.7822
16,1.6558,1.6381
17,1.5325,1.741
18,1.623,1.814
19,1.8985,2.6211
20,1.8657,2.0605
21,2.043,2.0907
22,1.9767,2.4252
23,2.3686,2.3769
24,2.1805,2.3986
25,2.2672,3.1948
26,5.0248,2.6055
27,2.4858,2.9987
28,3.0745,2.849
29,2.754,2.8639
30,4.0955,4.0279
31,3.3151,3.2452
32,4.0587,3.5119
33,3.7903,3.3761
34,3.5572,3.9982
35,4.2213,3.5931
36,3.7078,3.9341
37,4.2321,3.8305
38,4.1688,4.4212
39,4.34,4.044
40,5.2254,4.5414
41,4.4789,4.7977
42,6.058,4.5739
43,8.0111,6.7329
44,7.6643,6.9816
45,6.9445,5.9928
46,7.8484,7.8273
47,7.8263,5.6996
48,10.8862,8.1896
49,8.4511,7.4828
50,10.9664,8.0043
51,9.2612,7.4034
52,8.5362,7.1361
53,10.3485,9.315
54,9.6966,8.4753
55,10.0832,9.3117
56,12.3889,8.5559
57,9.2903,9.4879
58,12.387,10.1742
59,12.8233,9.5297
60,9.2713,6.4149
61,9.8365,7.2247
62,9.9161,7.9926
63,9.2104,8.8804
64,10.0617,8.6022
65,11.6471,9.3825
66,10.0398,7.9573
67,10.4461,8.5445
68,10.3851,8.6683
69,10.7643,8.3391
70,10.5967,8.8503
71,10.9083,8.4238
72,11.6317,8.4053
73,12.5559,9.0877
74,11.8851,9.1986
75,12.8564,8.8649
76,12.7022,9.5741
77,12.5744,9.6484
78,12.9813,9.3371
79,13.2498,9.935
80,13.5363,9.3966
81,14.1633,9.8399
82,14.0011,10.0061
83,14.0963,10.5436
84,14.4299,9.8806
85,15.5291,10.4939
86,14.6337,11.0336
87,15.5655,10.8867
88,15.6689,10.9786
89,15.9572,10.8159
90,16.0216,11.0206
91,16.7323,11.3041
92,16.6308,10.9622
93,17.3251,11.1926
94,17.4679,11.6147
95,18.5519,11.7777
96,18.4279,11.772
97,18.4288,11.6507
98,18.9096,11.7809
99,19.0133,12.1034
