N,insertion_us,quick_us
1,0.706,0.8701
2,0.4013,0.4334
3,0.4221,0.4417
4,0.4456,0.4936
5,0.4576,0.5239
6,0.424,0.5622
7,0.5594,0.5979
8,0.4791,0.5669
9,0.5041,0.5573
10,0.9608,0.6946
11,0.7469,0.7626
12,0.9311,1.054
13,1.0424,0.8691
14,1.1514,1.1325
15,0.8156,0.8395
16,1.4643,1.3669
17,1.0012,1.6185
18,1.6922,1.09
19,1.373,1.1357
20,1.0687,1.1457
21,1.2836,1.1743
22,1.2354,1.2649
23,1.5506,1.2616
24,1.6166,1.3391
25,2.0222,1.3894
26,1.724,1.7481
27,2.3394,1.7
28,2.3403,1.9433
29,2.6651,2.5787
30,2.2482,1.8838
31,4.0372,2.5235
32,2.7253,1.9418
33,2.5193,2.2857
34,4.6645,3.6475
35,3.6947,2.766
36,2.7145,2.4436
37,2.9532,2.1608
38,3.0571,2.4981
39,4.3211,2.7301
40,3.8904,2.6848
41,3.7396,2.6376
42,6.9486,3.4881
43,5.5979,3.5421
44,4.6073,4.1107
45,7.4679,3.6091
46,5.6961,4.1621
47,6.6756,3.2788
48,6.673,4.5046
49,4.6651,3.7085
50,5.9236,3.5445
51,6.7948,3.6286
52,10.6997,5.3658
53,8.4924,5.5216
54,8.934,4.4143
55,8.8001,5.4244
56,11.3429,6.6826
57,9.6678,6.3777
58,8.5826,7.4582
59,11.7943,6.647
60,10.5248,5.8388
61,14.0101,8.6244
62,14.2705,8.6448
63,15.5107,7.7502
64,11.6353,7.7359
65,11.6399,4.9227
66,12.9728,6.9914
67,12.9995,8.8507
68,14.7116,8.2267
69,14.57,6.3047
70,12.2172,8.8107
71,13.9083,5.6454
72,14.4285,7.4793
73,11.5304,6.6752
74,15.5238,6.1963
75,17.7919,7.2269
76,15.3545,7.8509
77,17.8091,8.7477
78,12.2423,7.4467
79,17.1704,5.7148
80,12.9151,9.938
81,13.2995,6.7
82,13.2154,6.9469
83,14.7848,6.8027
84,14.6723,6.497
85,15.5435,7.1803
86,14.2703,7.8156
87,19.7792,6.7219
88,15.5175,7.5031
89,21.6633,9.0372
90,15.3838,7.262
91,17.026,10.6279
92,16.1007,22.8651
93,38.1086,11.253
94,22.1199,8.3329
95,16.3879,6.7988
96,17.5195,6.4477
97,19.3153,8.8619
98,18.5887,10.9099
99,18.9351,6.6481
100,15.888,7.8071
