INSERT
abaya =aba
anthropophagous 食人的
crashworthy 防撞的
antiquated 陈旧的
allium 葱属植物
bowknot 蝴蝶结
aslant 倾斜地
charitarian 慈善家
cilantro 芫荽叶
belowground 地下的
blizzard 大风雪
accordable 可一致的
cumber 阻碍
argilliferous 生黏土的
cookroom 厨房
chlorinity 氯含氯
airframe 机身
abolisher 废除者
carpet 地毯
carabine 卡宾枪
autocorrect 自动更正
apolaustic 放纵的
attestation 证明
bleak 寒冷的
beefsteak 牛排
aeronautical 航空学的
brewing 酿造
chameleon 变色龙
collimator 瞄准仪
calcinator 锻烧器
clearance 清除
acestoma 肉芽块
carpogonial 果胞的
cromlech 环状列石
cookies 饼干
ade 果汁饮料
clupeoid 鲱鱼
antimagnetic 防磁的
bedtick 褥套
cinematize 摄成电影
afforcement 加强阵容
beverage 饮料
adding 加增加
cariosity 龋蛀牙
arthritic 关节炎的
autoinfection 自体传染
circumscription 界限
banker 银行家
condenses 浓缩
albeit 虽然
carretela 一种马车
bioplasm 原生质
barroom 酒吧间
billionaire 亿万富翁
angler 钓鱼者
chilblain 冻疮
bedash 浇淋
avaunt 滚走开
carabineer 卡宾枪手
catalogue 目录
adhesion 支持
clotheshorse 晒衣架
circumvolve 旋转
chapeau 帽子
busywork 作业
cholerine 轻症霍乱
bonito 鲣
circumjacent 周围的
arbitral 仲裁的
anteprandial 饭前的
abiogenesis 自然发生
aweary 疲倦的
counteraccusation 反控
aniconism 无偶像论
condensery 炼乳工厂
buttstock 枪托
creophagy 食肉
closest 最靠近的
cotemporaneous 同时代的
atelic 未完成的
antitoxin 抗毒素
complier 依从者
becility 聪明
bombinate 发嗡嗡声
acescent 变酸的
balustrade 栏杆
bedsore 褥疮
bacca 浆果
anemology 测风学
cornual 角的
claviform 棒状的
abas 打倒
caritative 博爱的
anthropolatry 人类崇拜
approvable 可核准的
christology 基督论
cankerroot 三叶黄莲
choucroute 泡菜
analogism 类比推理
autoxidation 自然氧化
corncrake 秧鸡
banquet 宴会
autonomous 自治的
bolwtorch 乙炔吹嘴
coleseed 油菜子
amperage 安培数
axiology 价值论
corollate 有花冠的
autoeciousness 寄生
contignation 架台
aileen 艾琳
contrastively 对比地
apiarist 养蜂家
bomblet 小炸弹
concessively 让步地
ankle [解]踝
concerning 关于
annotator 注解者
bobsleigh 长橇
campcraft 露营术
adust 烧焦的
cadential 节奏的
bovid 牛科的
citriculture 柑橘栽培
aspergillum 洒水器
creviced 有裂缝的
bakery 面包店
announceable 可宣布的
apparently 显然地
chromophotograph 彩色照片
contranatant 逆流的
addible 可添加的
cumulonimbus 积雨云
arts 文科
classable 可分类的
crater 弹坑
antithesis 对立面
