TreeType,Operation,ItemsProcessed,Time_microseconds
AVL,init,100,533
AVL,init,200,256
AVL,init,300,4649
AVL,init,400,4756
AVL,init,500,3911
AVL,init,600,3547
AVL,init,700,3543
AVL,init,800,2917
AVL,init,900,2584
AVL,init,1000,2355
AVL,init,1100,2356
AVL,init,1200,2405
AVL,init,1300,1943
AVL,init,1400,1500
AVL,init,1500,1309
AVL,init,1600,1151
AVL,init,1700,886
AVL,init,1800,683
AVL,init,1900,468
AVL,init,2000,271
AVL,init,2100,117
AVL,init,2200,107
AVL,init,2300,107
AVL,init,2400,112
AVL,init,2500,107
AVL,init,2600,110
AVL,init,2700,105
AVL,init,2800,110
AVL,init,2900,166
AVL,init,3000,149
AVL,init,3100,155
AVL,init,3200,151
AVL,init,3300,156
Red-Black,init,100,215
Red-Black,init,200,1998
Red-Black,init,300,1602
Red-Black,init,400,1379
Red-Black,init,500,1251
Red-Black,init,600,1325
Red-Black,init,700,1159
Red-Black,init,800,911
Red-Black,init,900,837
Red-Black,init,1000,355
Red-Black,init,1100,5413
Red-Black,init,1200,3894
Red-Black,init,1300,6827
Red-Black,init,1400,5878
Red-Black,init,1500,4555
Red-Black,init,1600,3306
Red-Black,init,1700,2746
Red-Black,init,1800,2481
Red-Black,init,1900,3240
Red-Black,init,2000,2338
Red-Black,init,2100,1760
Red-Black,init,2200,1733
Red-Black,init,2300,1542
Red-Black,init,2400,1133
Red-Black,init,2500,1028
Red-Black,init,2600,1342
Red-Black,init,2700,505
Red-Black,init,2800,217
Red-Black,init,2900,98
Red-Black,init,3000,100
Red-Black,init,3100,101
Red-Black,init,3200,97
Red-Black,init,3300,99
AVL,delete,100,154
Red-Black,delete,100,81
AVL,insert,100,91
Red-Black,insert,100,76
AVL,search,1,1
AVL,search,5,5
AVL,search,10,8
AVL,search,30,19
AVL,search,50,29
AVL,search,70,35
AVL,search,100,45
AVL,search,200,85
AVL,search,300,119
AVL,search,400,152
AVL,search,500,276
AVL,search,600,226
AVL,search,700,241
AVL,search,800,248
AVL,search,900,286
AVL,search,1000,348
Red-Black,search,1,2
Red-Black,search,5,5
Red-Black,search,10,8
Red-Black,search,30,20
Red-Black,search,50,29
Red-Black,search,70,34
Red-Black,search,100,44
Red-Black,search,200,78
Red-Black,search,300,105
Red-Black,search,400,133
Red-Black,search,500,169
Red-Black,search,600,213
Red-Black,search,700,317
Red-Black,search,800,343
Red-Black,search,900,367
Red-Black,search,1000,457
