TreeType,Operation,ItemsProcessed,Time_microseconds
AVL,init,100,1154
AVL,init,200,1507
AVL,init,300,18680
AVL,init,400,16908
AVL,init,500,17635
AVL,init,600,18669
AVL,init,700,23545
AVL,init,800,14206
AVL,init,900,15316
AVL,init,1000,14190
AVL,init,1100,17820
AVL,init,1200,18077
AVL,init,1300,7831
AVL,init,1400,5008
AVL,init,1500,3010
AVL,init,1600,2523
AVL,init,1700,2730
AVL,init,1800,1550
AVL,init,1900,1475
AVL,init,2000,523
AVL,init,2100,399
AVL,init,2200,342
AVL,init,2300,1427
AVL,init,2400,414
AVL,init,2500,367
AVL,init,2600,259
AVL,init,2700,290
AVL,init,2800,248
AVL,init,2900,250
AVL,init,3000,300
AVL,init,3100,361
AVL,init,3200,468
AVL,init,3300,420
Red-Black,init,100,683
Red-Black,init,200,5053
Red-Black,init,300,4401
Red-Black,init,400,4500
Red-Black,init,500,2956
Red-Black,init,600,1824
Red-Black,init,700,1966
Red-Black,init,800,1068
Red-Black,init,900,603
Red-Black,init,1000,912
Red-Black,init,1100,7248
Red-Black,init,1200,7537
Red-Black,init,1300,6126
Red-Black,init,1400,5902
Red-Black,init,1500,7604
Red-Black,init,1600,4842
Red-Black,init,1700,9057
Red-Black,init,1800,6565
Red-Black,init,1900,7095
Red-Black,init,2000,5713
Red-Black,init,2100,3627
Red-Black,init,2200,3737
Red-Black,init,2300,2534
Red-Black,init,2400,4239
Red-Black,init,2500,2132
Red-Black,init,2600,4111
Red-Black,init,2700,1329
Red-Black,init,2800,601
Red-Black,init,2900,301
Red-Black,init,3000,307
Red-Black,init,3100,296
Red-Black,init,3200,288
Red-Black,init,3300,271
AVL,delete,100,202
Red-Black,delete,100,110
AVL,insert,100,438
Red-Black,insert,100,138
AVL,search,1,1
AVL,search,5,21
AVL,search,10,12
AVL,search,30,26
AVL,search,50,43
AVL,search,70,70
AVL,search,100,88
AVL,search,200,159
AVL,search,300,240
AVL,search,400,276
AVL,search,500,1378
AVL,search,600,835
AVL,search,700,555
AVL,search,800,1237
AVL,search,900,1765
AVL,search,1000,961
Red-Black,search,1,3
Red-Black,search,5,10
Red-Black,search,10,15
Red-Black,search,30,42
Red-Black,search,50,55
Red-Black,search,70,77
Red-Black,search,100,129
Red-Black,search,200,201
Red-Black,search,300,248
Red-Black,search,400,344
Red-Black,search,500,408
Red-Black,search,600,416
Red-Black,search,700,451
Red-Black,search,800,499
Red-Black,search,900,929
Red-Black,search,1000,657
